INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
2125	15533	50	-1	7989	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1372	50	50	1367	50	50	14	1372	50	50	1367	50	50	14	-1	-1	1530	510	14	-1	-1	-1	-1	1250	1250	1250	1250	1250	14	31	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2126	15653	50	-1	8051	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1383	50	50	1378	50	50	14	1383	50	50	1378	50	50	14	-1	-1	1542	514	15	-1	-1	-1	-1	1260	1260	1260	1260	1260	15	31	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2127	15774	50	-1	8113	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1393	50	50	1388	50	50	14	1393	50	50	1388	50	50	14	-1	-1	1554	518	15	-1	-1	-1	-1	1270	1270	1270	1270	1270	15	32	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2128	15894	50	-1	8175	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1404	50	50	1399	50	50	14	1404	50	50	1399	50	50	14	-1	-1	1566	522	15	-1	-1	-1	-1	1280	1280	1280	1280	1280	15	32	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2129	16015	50	-1	8237	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1415	50	50	1409	50	50	14	1415	50	50	1409	50	50	14	-1	-1	1578	526	15	-1	-1	-1	-1	1290	1290	1290	1290	1290	15	33	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2130	16135	50	-1	8298	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1425	50	50	1420	50	50	14	1425	50	50	1420	50	50	14	-1	-1	1590	530	15	-1	-1	-1	-1	1300	1300	1300	1300	1300	15	33	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2131	16256	50	-1	8360	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1436	50	50	1431	50	50	14	1436	50	50	1431	50	50	14	-1	-1	1602	534	16	-1	-1	-1	-1	1310	1310	1310	1310	1310	16	33	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2132	16376	50	-1	8422	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1446	50	50	1441	50	50	14	1446	50	50	1441	50	50	14	-1	-1	1614	538	16	-1	-1	-1	-1	1320	1320	1320	1320	1320	16	34	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2133	16497	50	-1	8484	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1457	50	50	1452	50	50	14	1457	50	50	1452	50	50	14	-1	-1	1626	542	16	-1	-1	-1	-1	1330	1330	1330	1330	1330	16	34	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2134	16617	50	-1	8546	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1468	50	50	1463	50	50	14	1468	50	50	1463	50	50	14	-1	-1	1638	546	16	-1	-1	-1	-1	1340	1340	1340	1340	1340	16	35	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2135	16738	50	-1	8608	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1478	50	50	1473	50	50	14	1478	50	50	1473	50	50	14	-1	-1	1650	550	17	-1	-1	-1	-1	1350	1350	1350	1350	1350	17	35	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2136	16858	50	-1	8670	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1489	50	50	1484	50	50	14	1489	50	50	1484	50	50	14	-1	-1	1662	554	17	-1	-1	-1	-1	1360	1360	1360	1360	1360	17	36	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2137	16979	50	-1	8732	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1500	50	50	1495	50	50	14	1500	50	50	1495	50	50	14	-1	-1	1674	558	17	-1	-1	-1	-1	1370	1370	1370	1370	1370	17	36	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2138	17099	50	-1	8794	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1510	50	50	1505	50	50	14	1510	50	50	1505	50	50	14	-1	-1	1686	562	17	-1	-1	-1	-1	1380	1380	1380	1380	1380	17	37	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2139	17220	50	-1	8856	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1521	50	50	1516	50	50	14	1521	50	50	1516	50	50	14	-1	-1	1698	566	17	-1	-1	-1	-1	1390	1390	1390	1390	1390	17	37	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2140	17340	50	-1	8917	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1532	50	50	1527	50	50	14	1532	50	50	1527	50	50	14	-1	-1	1710	570	18	-1	-1	-1	-1	1400	1400	1400	1400	1400	18	38	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2141	17461	50	-1	8979	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1542	50	50	1537	50	50	14	1542	50	50	1537	50	50	14	-1	-1	1722	574	18	-1	-1	-1	-1	1410	1410	1410	1410	1410	18	38	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2142	17581	50	-1	9041	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1553	50	50	1548	50	50	14	1553	50	50	1548	50	50	14	-1	-1	1734	578	18	-1	-1	-1	-1	1420	1420	1420	1420	1420	18	39	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2143	17702	50	-1	9103	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1564	50	50	1559	50	50	14	1564	50	50	1559	50	50	14	-1	-1	1746	582	18	-1	-1	-1	-1	1430	1430	1430	1430	1430	18	39	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2144	17822	50	-1	9165	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1574	50	50	1569	50	50	14	1574	50	50	1569	50	50	14	-1	-1	1758	586	19	-1	-1	-1	-1	1440	1440	1440	1440	1440	19	39	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2145	17943	50	-1	9227	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1585	50	50	1580	50	50	14	1585	50	50	1580	50	50	14	-1	-1	1770	590	19	-1	-1	-1	-1	1450	1450	1450	1450	1450	19	40	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2146	18063	50	-1	9289	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1596	50	50	1590	50	50	14	1596	50	50	1590	50	50	14	-1	-1	1782	594	19	-1	-1	-1	-1	1460	1460	1460	1460	1460	19	40	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2147	18184	50	-1	9351	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1606	50	50	1601	50	50	14	1606	50	50	1601	50	50	14	-1	-1	1794	598	19	-1	-1	-1	-1	1470	1470	1470	1470	1470	19	41	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2148	18304	50	-1	9413	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1617	50	50	1612	50	50	14	1617	50	50	1612	50	50	14	-1	-1	1806	602	20	-1	-1	-1	-1	1480	1480	1480	1480	1480	20	41	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2149	18425	50	-1	9475	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1627	50	50	1622	50	50	14	1627	50	50	1622	50	50	14	-1	-1	1818	606	20	-1	-1	-1	-1	1490	1490	1490	1490	1490	20	42	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2150	18545	50	-1	9536	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1638	50	50	1633	50	50	14	1638	50	50	1633	50	50	14	-1	-1	1830	610	20	-1	-1	-1	-1	1500	1500	1500	1500	1500	20	42	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
2200	23966	50	-1	7184	50	-1	136	20	-1	136	20	-1	136	20	-1	136	20	-1	7	1000	50	50	1228	50	50	13	1000	50	50	1228	50	50	13	-1	-1	1150	458	14	-1	-1	-1	-1	204	204	204	204	204	12	24	-1	-1	-1	-1	-1	41	41	41	41	-1	-1	-1	-1	-1	-1
3001	11556	38	-1	5946	50	-1	78	11	-1	78	11	-1	78	11	-1	78	11	-1	6	800	50	50	1016	50	50	11	800	50	50	1016	50	50	11	-1	-1	900	378	8	-1	-1	-1	-1	85	85	85	85	46	9	16	-1	-1	-1	-1	-1	25	25	25	25	-1	-1	-1	-1	-1	-1
3002	12761	38	-1	6565	50	-1	91	12	-1	91	12	-1	91	12	-1	91	12	-1	6	900	50	50	1122	50	50	12	900	50	50	1122	50	50	12	-1	-1	1010	418	8	-1	-1	-1	-1	93	93	93	93	55	10	19	-1	-1	-1	-1	-1	30	30	30	30	-1	-1	-1	-1	-1	-1
3003	13966	38	-1	7184	50	-1	111	13	-1	111	13	-1	111	13	-1	111	13	-1	7	1000	50	50	1228	50	50	13	1000	50	50	1228	50	50	13	-1	-1	1150	458	14	-1	-1	-1	-1	110	110	110	110	70	12	24	-1	-1	-1	-1	-1	41	41	41	41	-1	-1	-1	-1	-1	-1
3004	-1	-1	-1	-1	-1	-1	79	-1	-1	79	-1	-1	79	-1	-1	79	-1	-1	-1	808	-1	-1	-1	-1	-1	-1	808	-1	-1	-1	-1	-1	-1	-1	-1	1046	-1	8	-1	-1	-1	-1	100	100	100	100	55	-1	20	-1	-1	-1	-1	-1	25	25	25	25	-1	-1	-1	-1	-1	-1
3005	-1	30	-1	-1	-1	-1	92	-1	-1	92	-1	-1	92	-1	-1	92	-1	-1	-1	909	-1	-1	-1	-1	-1	-1	909	-1	-1	-1	-1	-1	-1	-1	-1	1175	-1	8	-1	-1	-1	-1	110	110	110	110	65	-1	22	-1	-1	-1	-1	-1	30	30	30	30	-1	-1	-1	-1	-1	-1
3006	-1	30	-1	-1	-1	-1	113	-1	-1	113	-1	-1	113	-1	-1	113	-1	-1	-1	1010	-1	-1	-1	-1	-1	-1	1010	-1	-1	-1	-1	-1	-1	-1	-1	1338	-1	15	-1	-1	-1	-1	128	128	128	128	81	-1	28	-1	-1	-1	-1	-1	41	41	41	41	-1	-1	-1	-1	-1	-1
3007	-1	-1	-1	-1	-1	-1	95	-1	-1	95	-1	-1	95	-1	-1	95	-1	-1	-1	989	-1	-1	-1	-1	-1	-1	989	-1	-1	-1	-1	-1	-1	-1	-1	1246	-1	8	-1	-1	-1	-1	118	118	118	118	64	-1	23	-1	-1	-1	-1	-1	25	25	25	25	-1	-1	-1	-1	-1	-1
3008	-1	24	-1	-1	-1	-1	111	-1	-1	111	-1	-1	111	-1	-1	111	-1	-1	-1	1112	-1	-1	-1	-1	-1	-1	1112	-1	-1	-1	-1	-1	-1	-1	-1	1398	-1	8	-1	-1	-1	-1	129	129	129	129	76	-1	27	-1	-1	-1	-1	-1	30	30	30	30	-1	-1	-1	-1	-1	-1
3009	-1	24	-1	-1	-1	-1	136	-1	-1	136	-1	-1	136	-1	-1	136	-1	-1	-1	1236	-1	-1	-1	-1	-1	-1	1236	-1	-1	-1	-1	-1	-1	-1	-1	1592	-1	14	-1	-1	-1	-1	152	152	152	152	96	-1	33	-1	-1	-1	-1	-1	40	40	40	40	-1	-1	-1	-1	-1	-1
3010	6616	50	-1	3408	50	-1	230	50	-1	230	50	-1	230	50	-1	230	50	-1	4	573	50	50	568	50	50	6	573	50	50	568	50	50	6	-1	-1	642	214	6	-1	-1	-1	-1	25	10	10	10	23	6	11	-1	-1	-1	-1	-1	25	25	25	25	-1	-1	-1	-1	-1	-1
3011	6736	50	-1	3470	50	-1	232	51	-1	232	51	-1	232	51	-1	232	51	-1	4	584	50	50	579	50	50	6	584	50	50	579	50	50	6	-1	-1	654	218	6	-1	-1	-1	-1	38	12	16	17	32	6	12	-1	-1	-1	-1	-1	26	26	26	26	-1	-1	-1	-1	-1	-1
3012	6857	50	-1	3532	50	-1	234	52	-1	234	52	-1	234	52	-1	234	52	-1	4	595	50	50	590	50	50	6	595	50	50	590	50	50	6	-1	-1	666	222	6	-1	-1	-1	-1	51	14	22	24	41	6	12	-1	-1	-1	-1	-1	27	27	27	27	-1	-1	-1	-1	-1	-1
3013	6977	50	-1	3594	50	-1	236	53	-1	236	53	-1	236	53	-1	236	53	-1	4	605	50	50	600	50	50	7	605	50	50	600	50	50	7	-1	-1	678	226	6	-1	-1	-1	-1	64	16	28	31	50	6	12	-1	-1	-1	-1	-1	28	28	28	28	-1	-1	-1	-1	-1	-1
3014	7098	50	-1	3656	50	-1	238	54	-1	238	54	-1	238	54	-1	238	54	-1	4	616	50	50	611	50	50	7	616	50	50	611	50	50	7	-1	-1	690	230	6	-1	-1	-1	-1	77	18	34	38	59	6	12	-1	-1	-1	-1	-1	29	29	29	29	-1	-1	-1	-1	-1	-1
3015	7218	50	-1	3718	50	-1	240	55	-1	240	55	-1	240	55	-1	240	55	-1	4	627	50	50	622	50	50	7	627	50	50	622	50	50	7	-1	-1	702	234	6	-1	-1	-1	-1	90	20	40	45	68	6	12	-1	-1	-1	-1	-1	30	30	30	30	-1	-1	-1	-1	-1	-1
3016	7339	50	-1	3780	50	-1	242	56	-1	242	56	-1	242	56	-1	242	56	-1	4	637	50	50	632	50	50	7	637	50	50	632	50	50	7	-1	-1	714	238	6	-1	-1	-1	-1	103	22	46	52	77	6	13	-1	-1	-1	-1	-1	31	31	31	31	-1	-1	-1	-1	-1	-1
3017	7459	50	-1	3842	50	-1	244	57	-1	244	57	-1	244	57	-1	244	57	-1	4	648	50	50	643	50	50	7	648	50	50	643	50	50	7	-1	-1	726	242	6	-1	-1	-1	-1	116	24	52	59	86	6	13	-1	-1	-1	-1	-1	32	32	32	32	-1	-1	-1	-1	-1	-1
3018	7580	50	-1	3904	50	-1	246	58	-1	246	58	-1	246	58	-1	246	58	-1	4	659	50	50	654	50	50	7	659	50	50	654	50	50	7	-1	-1	738	246	6	-1	-1	-1	-1	129	26	58	66	95	6	13	-1	-1	-1	-1	-1	33	33	33	33	-1	-1	-1	-1	-1	-1
3019	7700	50	-1	3965	50	-1	248	59	-1	248	59	-1	248	59	-1	248	59	-1	4	669	50	50	664	50	50	7	669	50	50	664	50	50	7	-1	-1	750	250	6	-1	-1	-1	-1	142	28	64	73	104	6	13	-1	-1	-1	-1	-1	34	34	34	34	-1	-1	-1	-1	-1	-1
3020	7821	50	-1	4027	50	-1	250	60	-1	250	60	-1	250	60	-1	250	60	-1	4	680	50	50	675	50	50	7	680	50	50	675	50	50	7	-1	-1	762	254	6	-1	-1	-1	-1	155	30	70	80	113	6	13	-1	-1	-1	-1	-1	35	35	35	35	-1	-1	-1	-1	-1	-1
3021	7941	50	-1	4089	50	-1	252	61	-1	252	61	-1	252	61	-1	252	61	-1	4	691	50	50	685	50	50	7	691	50	50	685	50	50	7	-1	-1	774	258	7	-1	-1	-1	-1	168	32	76	87	122	7	14	-1	-1	-1	-1	-1	36	36	36	36	-1	-1	-1	-1	-1	-1
3022	8062	50	-1	4151	50	-1	254	62	-1	254	62	-1	254	62	-1	254	62	-1	4	701	50	50	696	50	50	7	701	50	50	696	50	50	7	-1	-1	786	262	7	-1	-1	-1	-1	181	34	82	94	131	7	14	-1	-1	-1	-1	-1	37	37	37	37	-1	-1	-1	-1	-1	-1
3023	8182	50	-1	4213	50	-1	256	63	-1	256	63	-1	256	63	-1	256	63	-1	4	712	50	50	707	50	50	8	712	50	50	707	50	50	8	-1	-1	798	266	7	-1	-1	-1	-1	194	36	88	101	140	7	14	-1	-1	-1	-1	-1	38	38	38	38	-1	-1	-1	-1	-1	-1
3024	8303	50	-1	4275	50	-1	258	64	-1	258	64	-1	258	64	-1	258	64	-1	4	722	50	50	717	50	50	8	722	50	50	717	50	50	8	-1	-1	810	270	7	-1	-1	-1	-1	207	38	94	108	149	7	14	-1	-1	-1	-1	-1	39	39	39	39	-1	-1	-1	-1	-1	-1
3025	8423	50	-1	4337	50	-1	260	65	-1	260	65	-1	260	65	-1	260	65	-1	4	733	50	50	728	50	50	8	733	50	50	728	50	50	8	-1	-1	822	274	7	-1	-1	-1	-1	220	40	100	115	158	7	14	-1	-1	-1	-1	-1	40	40	40	40	-1	-1	-1	-1	-1	-1
3026	8544	50	-1	4399	50	-1	262	66	-1	262	66	-1	262	66	-1	262	66	-1	4	744	50	50	739	50	50	8	744	50	50	739	50	50	8	-1	-1	834	278	7	-1	-1	-1	-1	233	42	106	122	167	7	15	-1	-1	-1	-1	-1	41	41	41	41	-1	-1	-1	-1	-1	-1
3027	8664	50	-1	4461	50	-1	264	67	-1	264	67	-1	264	67	-1	264	67	-1	4	754	50	50	749	50	50	8	754	50	50	749	50	50	8	-1	-1	846	282	7	-1	-1	-1	-1	246	44	112	129	176	7	15	-1	-1	-1	-1	-1	42	42	42	42	-1	-1	-1	-1	-1	-1
3028	8785	50	-1	4523	50	-1	266	68	-1	266	68	-1	266	68	-1	266	68	-1	5	765	50	50	760	50	50	8	765	50	50	760	50	50	8	-1	-1	858	286	7	-1	-1	-1	-1	259	46	118	136	185	7	15	-1	-1	-1	-1	-1	43	43	43	43	-1	-1	-1	-1	-1	-1
3029	8905	50	-1	4584	50	-1	268	69	-1	268	69	-1	268	69	-1	268	69	-1	5	776	50	50	771	50	50	8	776	50	50	771	50	50	8	-1	-1	870	290	7	-1	-1	-1	-1	272	48	124	143	194	7	15	-1	-1	-1	-1	-1	44	44	44	44	-1	-1	-1	-1	-1	-1
3030	9026	50	-1	4646	50	-1	270	70	-1	270	70	-1	270	70	-1	270	70	-1	5	786	50	50	781	50	50	8	786	50	50	781	50	50	8	-1	-1	882	294	7	-1	-1	-1	-1	285	50	130	150	203	7	15	-1	-1	-1	-1	-1	45	45	45	45	-1	-1	-1	-1	-1	-1
3031	9146	50	-1	4708	50	-1	272	71	-1	272	71	-1	272	71	-1	272	71	-1	5	797	50	50	792	50	50	8	797	50	50	792	50	50	8	-1	-1	894	298	7	-1	-1	-1	-1	298	52	136	157	212	7	16	-1	-1	-1	-1	-1	46	46	46	46	-1	-1	-1	-1	-1	-1
3032	9267	50	-1	4770	50	-1	274	72	-1	274	72	-1	274	72	-1	274	72	-1	5	808	50	50	803	50	50	9	808	50	50	803	50	50	9	-1	-1	906	302	7	-1	-1	-1	-1	311	54	142	164	221	7	16	-1	-1	-1	-1	-1	47	47	47	47	-1	-1	-1	-1	-1	-1
3033	9387	50	-1	4832	50	-1	276	73	-1	276	73	-1	276	73	-1	276	73	-1	5	818	50	50	813	50	50	9	818	50	50	813	50	50	9	-1	-1	918	306	8	-1	-1	-1	-1	324	56	148	171	230	8	16	-1	-1	-1	-1	-1	48	48	48	48	-1	-1	-1	-1	-1	-1
3034	9508	50	-1	4894	50	-1	278	74	-1	278	74	-1	278	74	-1	278	74	-1	5	829	50	50	824	50	50	9	829	50	50	824	50	50	9	-1	-1	930	310	8	-1	-1	-1	-1	337	58	154	178	239	8	16	-1	-1	-1	-1	-1	49	49	49	49	-1	-1	-1	-1	-1	-1
3035	9628	50	-1	4956	50	-1	280	75	-1	280	75	-1	280	75	-1	280	75	-1	5	840	50	50	835	50	50	9	840	50	50	835	50	50	9	-1	-1	942	314	8	-1	-1	-1	-1	350	60	160	185	248	8	16	-1	-1	-1	-1	-1	50	50	50	50	-1	-1	-1	-1	-1	-1
3036	9749	50	-1	5018	50	-1	282	76	-1	282	76	-1	282	76	-1	282	76	-1	5	850	50	50	845	50	50	9	850	50	50	845	50	50	9	-1	-1	954	318	8	-1	-1	-1	-1	363	62	166	192	257	8	17	-1	-1	-1	-1	-1	51	51	51	51	-1	-1	-1	-1	-1	-1
3037	9869	50	-1	5080	50	-1	284	77	-1	284	77	-1	284	77	-1	284	77	-1	5	861	50	50	856	50	50	9	861	50	50	856	50	50	9	-1	-1	966	322	8	-1	-1	-1	-1	376	64	172	199	266	8	17	-1	-1	-1	-1	-1	52	52	52	52	-1	-1	-1	-1	-1	-1
3038	9990	50	-1	5142	50	-1	286	78	-1	286	78	-1	286	78	-1	286	78	-1	5	872	50	50	866	50	50	9	872	50	50	866	50	50	9	-1	-1	978	326	8	-1	-1	-1	-1	389	66	178	206	275	8	17	-1	-1	-1	-1	-1	53	53	53	53	-1	-1	-1	-1	-1	-1
3039	10110	50	-1	5203	50	-1	288	79	-1	288	79	-1	288	79	-1	288	79	-1	5	882	50	50	877	50	50	9	882	50	50	877	50	50	9	-1	-1	990	330	8	-1	-1	-1	-1	402	68	184	213	284	8	17	-1	-1	-1	-1	-1	54	54	54	54	-1	-1	-1	-1	-1	-1
3040	10231	50	-1	5265	50	-1	290	80	-1	290	80	-1	290	80	-1	290	80	-1	5	893	50	50	888	50	50	9	893	50	50	888	50	50	9	-1	-1	1002	334	8	-1	-1	-1	-1	415	70	190	220	293	8	17	-1	-1	-1	-1	-1	55	55	55	55	-1	-1	-1	-1	-1	-1
3041	10351	50	-1	5327	50	-1	292	81	-1	292	81	-1	292	81	-1	292	81	-1	5	903	50	50	898	50	50	10	903	50	50	898	50	50	10	-1	-1	1014	338	8	-1	-1	-1	-1	428	72	196	227	302	8	18	-1	-1	-1	-1	-1	56	56	56	56	-1	-1	-1	-1	-1	-1
3042	10472	50	-1	5389	50	-1	294	82	-1	294	82	-1	294	82	-1	294	82	-1	5	914	50	50	909	50	50	10	914	50	50	909	50	50	10	-1	-1	1026	342	8	-1	-1	-1	-1	441	74	202	234	311	8	18	-1	-1	-1	-1	-1	57	57	57	57	-1	-1	-1	-1	-1	-1
3043	10592	50	-1	5451	50	-1	296	83	-1	296	83	-1	296	83	-1	296	83	-1	5	925	50	50	920	50	50	10	925	50	50	920	50	50	10	-1	-1	1038	346	8	-1	-1	-1	-1	454	76	208	241	320	8	18	-1	-1	-1	-1	-1	58	58	58	58	-1	-1	-1	-1	-1	-1
3044	10713	50	-1	5513	50	-1	298	84	-1	298	84	-1	298	84	-1	298	84	-1	5	935	50	50	930	50	50	10	935	50	50	930	50	50	10	-1	-1	1050	350	8	-1	-1	-1	-1	467	78	214	248	329	8	18	-1	-1	-1	-1	-1	59	59	59	59	-1	-1	-1	-1	-1	-1
3045	10833	50	-1	5575	50	-1	300	85	-1	300	85	-1	300	85	-1	300	85	-1	5	946	50	50	941	50	50	10	946	50	50	941	50	50	10	-1	-1	1062	354	8	-1	-1	-1	-1	480	80	220	255	338	8	18	-1	-1	-1	-1	-1	60	60	60	60	-1	-1	-1	-1	-1	-1
3046	10954	50	-1	5637	50	-1	302	86	-1	302	86	-1	302	86	-1	302	86	-1	5	957	50	50	952	50	50	10	957	50	50	952	50	50	10	-1	-1	1074	358	9	-1	-1	-1	-1	493	82	226	262	347	9	19	-1	-1	-1	-1	-1	61	61	61	61	-1	-1	-1	-1	-1	-1
3047	11074	50	-1	5699	50	-1	304	87	-1	304	87	-1	304	87	-1	304	87	-1	5	967	50	50	962	50	50	10	967	50	50	962	50	50	10	-1	-1	1086	362	9	-1	-1	-1	-1	506	84	232	269	356	9	19	-1	-1	-1	-1	-1	62	62	62	62	-1	-1	-1	-1	-1	-1
3048	11195	50	-1	5761	50	-1	306	88	-1	306	88	-1	306	88	-1	306	88	-1	6	978	50	50	973	50	50	10	978	50	50	973	50	50	10	-1	-1	1098	366	9	-1	-1	-1	-1	519	86	238	276	365	9	19	-1	-1	-1	-1	-1	63	63	63	63	-1	-1	-1	-1	-1	-1
3049	11315	50	-1	5822	50	-1	308	89	-1	308	89	-1	308	89	-1	308	89	-1	6	989	50	50	984	50	50	10	989	50	50	984	50	50	10	-1	-1	1110	370	9	-1	-1	-1	-1	532	88	244	283	374	9	19	-1	-1	-1	-1	-1	64	64	64	64	-1	-1	-1	-1	-1	-1
3050	11436	50	-1	5884	50	-1	310	90	-1	310	90	-1	310	90	-1	310	90	-1	6	999	50	50	994	50	50	11	999	50	50	994	50	50	11	-1	-1	1122	374	9	-1	-1	-1	-1	545	90	250	290	383	9	19	-1	-1	-1	-1	-1	65	65	65	65	-1	-1	-1	-1	-1	-1
3051	11556	50	-1	5946	50	-1	312	91	-1	312	91	-1	312	91	-1	312	91	-1	6	1010	50	50	1005	50	50	11	1010	50	50	1005	50	50	11	-1	-1	1134	378	9	-1	-1	-1	-1	558	92	256	297	392	9	20	-1	-1	-1	-1	-1	66	66	66	66	-1	-1	-1	-1	-1	-1
3052	11677	50	-1	6008	50	-1	314	92	-1	314	92	-1	314	92	-1	314	92	-1	6	1021	50	50	1016	50	50	11	1021	50	50	1016	50	50	11	-1	-1	1146	382	9	-1	-1	-1	-1	571	94	262	304	401	9	20	-1	-1	-1	-1	-1	67	67	67	67	-1	-1	-1	-1	-1	-1
3053	11797	50	-1	6070	50	-1	316	93	-1	316	93	-1	316	93	-1	316	93	-1	6	1031	50	50	1026	50	50	11	1031	50	50	1026	50	50	11	-1	-1	1158	386	9	-1	-1	-1	-1	584	96	268	311	410	9	20	-1	-1	-1	-1	-1	68	68	68	68	-1	-1	-1	-1	-1	-1
3054	11918	50	-1	6132	50	-1	318	94	-1	318	94	-1	318	94	-1	318	94	-1	6	1042	50	50	1037	50	50	11	1042	50	50	1037	50	50	11	-1	-1	1170	390	9	-1	-1	-1	-1	597	98	274	318	419	9	20	-1	-1	-1	-1	-1	69	69	69	69	-1	-1	-1	-1	-1	-1
3055	12038	50	-1	6194	50	-1	320	95	-1	320	95	-1	320	95	-1	320	95	-1	6	1053	50	50	1047	50	50	11	1053	50	50	1047	50	50	11	-1	-1	1182	394	9	-1	-1	-1	-1	610	100	280	325	428	9	20	-1	-1	-1	-1	-1	70	70	70	70	-1	-1	-1	-1	-1	-1
3056	12159	50	-1	6256	50	-1	322	96	-1	322	96	-1	322	96	-1	322	96	-1	6	1063	50	50	1058	50	50	11	1063	50	50	1058	50	50	11	-1	-1	1194	398	9	-1	-1	-1	-1	623	102	286	332	437	9	21	-1	-1	-1	-1	-1	71	71	71	71	-1	-1	-1	-1	-1	-1
3057	12279	50	-1	6318	50	-1	324	97	-1	324	97	-1	324	97	-1	324	97	-1	6	1074	50	50	1069	50	50	11	1074	50	50	1069	50	50	11	-1	-1	1206	402	9	-1	-1	-1	-1	636	104	292	339	446	9	21	-1	-1	-1	-1	-1	72	72	72	72	-1	-1	-1	-1	-1	-1
3058	12400	50	-1	6380	50	-1	326	98	-1	326	98	-1	326	98	-1	326	98	-1	6	1084	50	50	1079	50	50	11	1084	50	50	1079	50	50	11	-1	-1	1218	406	10	-1	-1	-1	-1	649	106	298	346	455	10	21	-1	-1	-1	-1	-1	73	73	73	73	-1	-1	-1	-1	-1	-1
